spcd,common_name,genus,species
7381,para rubber tree,Hevea,brasiliensis
7384,hau kuahiwi,Hibiscadelphus,bombycinus
7385,lava hau kuahiwi,Hibiscadelphus,crucibracteatus
7386,Kauai hau kuahiwi,Hibiscadelphus,distans
7387,Kilauea hau kuahiwi,Hibiscadelphus,giffardianus
7388,Hualalai hau kuahiwi,Hibiscadelphus,hualalaiensis
7389,hau kuahiwi,Hibiscadelphus,puakuahiwi
7390,hibiscadelphus,Hibiscadelphus,spp.
7391,Maui hau kuahiwi,Hibiscadelphus,wilderianus
7392,Woods hau kuahiwi,Hibiscadelphus,woodii
7393,white rosemallow,Hibiscus,arnottianus
7397,Brackenridges rosemallow,Hibiscus,brackenridgei
7401,lemonyellow rosemallow,Hibiscus,calyphyllus
7402,red Kauai rosemallow,Hibiscus,clayi
7403,mahoe,Hibiscus,elatus
7404,red rosemallow,Hibiscus,kokio
7407,largeleaf rosemallow,Hibiscus,macrophyllus
7408,Dixie rosemallow,Hibiscus,mutabilis
